WT_PSC	WT_NC	WT_NC	WT_NC	WT_7d	WT_7d	WT_7d	WT_14d	WT_14d	WT_14d	WT_30d	WT_30d	WT_30d	WT_Het_3D	WT_Het_3D	WT_Het_3D	NF1_B_Het_3D	NF1_C_Het_3D	NF1_A_Het_3D	NF1_A_Hom_3D	NF1_B_Hom_3D	NF1_C_Hom_3D	SC_A	SC_B	SC_D	Fb_A	Fb_B
DAG1	2794	3905	2860	3640	4546	3419	2538	4610	3035	3108	10317	5769	7362	8631	7002	10740	6984	6378	2834	4985	5301	3028	31925	35836	18409	3542	2117
DAPK2	61	322	136	251	16	14	14	20	13	19	31	15	15	67	59	68	69	100	100	178	116	91	0	7	17	5	164
DCAF7	1495	2590	2409	5162	2036	1733	1520	2070	1367	1398	1883	1000	1046	2004	1883	2480	3020	2805	3951	4762	5903	3865	1696	2449	3564	1573	1184
DCAKD	386	824	750	1415	479	465	240	503	297	386	523	285	298	578	422	361	650	587	741	931	943	694	503	543	850	362	321
DCHS1	1030	4561	2131	4827	1397	1070	1348	826	609	925	368	156	224	2980	2078	3002	7583	8141	10209	4552	2906	8794	7	2	370	14	592
DCLRE1B	177	416	415	773	324	206	212	258	171	170	247	131	129	294	232	290	389	456	577	424	528	512	109	93	253	157	333
DCX	93	859	870	645	114	50	84	129	65	94	65	22	36	23	18	11	353	81	51	4871	3597	2644	1	1	0	0	0
DCXR	271	462	557	1165	285	307	189	271	236	242	300	188	207	199	137	119	182	339	323	410	480	236	255	274	912	217	202
DENND2A	148	994	609	777	257	234	231	199	131	159	269	143	181	712	453	583	785	792	777	497	514	991	793	84	94	39	135
DENND4C	1067	1355	1329	2033	1344	1073	885	1238	800	996	1503	1019	1053	1969	1712	2477	2065	2109	1945	2068	2434	2233	1384	1758	2795	1005	1202
DERA	158	637	489	1025	283	252	208	198	177	181	243	171	118	509	471	467	483	449	356	442	499	428	213	247	630	409	640
DET1	122	257	280	500	142	131	142	139	130	121	160	79	109	174	165	156	185	217	402	292	360	300	118	142	228	143	115
DIO2	9	9	5	10	85	66	71	191	150	207	161	64	73	923	881	381	491	93	34	15	33	199	200	145	480	150	345
DLK1	8	5	5	12	1271	668	632	397	255	168	175	68	112	340	274	435	1503	9804	1489	3808	3163	2392	0	18	41	2	1
DMPK	224	599	579	680	926	1122	742	1248	1155	1339	1118	530	555	856	582	737	1010	1039	856	1604	1030	767	342	505	541	921	386
DMTN	0	6	3	3	365	246	145	232	186	133	442	294	479	77	130	169	57	57	174	53	193	53	455	856	371	101	93
DMXL2	578	2793	2982	5156	1624	1537	1468	1834	1123	1548	2109	1213	1403	2386	1951	2527	2246	2606	4121	2988	4416	3490	2060	2177	8893	1456	1373
DNAH6	2	56	80	144	20	9	16	10	13	12	18	4	15	13	3	8	18	7	22	39	82	27	18	21	50	1	6
DNAJC9	642	1334	1150	2644	877	715	545	543	346	413	520	313	273	547	535	709	967	1070	1311	1173	1515	1290	253	210	867	485	909
DOCK10	57	5018	3160	7842	590	279	465	428	152	243	486	222	276	825	1049	930	1309	1817	2227	3521	3684	1778	394	1651	1518	1276	2825
DPF1	90	246	202	363	116	99	104	84	45	78	94	25	38	45	29	50	105	108	117	123	136	132	23	50	53	21	47
DPYD	8	205	283	520	204	210	166	343	142	214	547	358	418	1583	1447	1608	1306	1020	886	915	443	1896	981	996	1094	1862	1259
DPYSL5	232	2122	1661	2380	613	308	243	155	53	89	42	14	17	18	18	18	43	25	149	289	582	162	0	0	3	0	0
DTX3L	209	98	78	130	183	145	152	269	180	234	430	296	353	778	776	763	530	839	113	428	261	190	600	435	3485	507	713
DUSP7	116	534	367	1039	194	199	199	196	157	172	173	77	107	407	354	554	680	790	923	612	365	1214	46	63	175	263	334
DUSP9	19	135	74	108	2	3	3	3	0	0	1	0	0	2	1	1	6	27	22	72	24	14	0	0	12	0	0
DYM	716	1260	1340	2178	638	580	537	637	551	604	747	401	411	1317	1111	1440	1353	1120	1329	1041	1202	1026	527	718	1247	1092	1064
DYNC1I2	1161	2679	2496	5355	3632	3423	3229	2932	2246	2379	3062	1903	1879	4331	3652	4435	4548	4335	4772	3973	4488	5253	1775	2710	4049	4094	2977
DYNC2H1	1333	2047	2111	4136	830	741	713	1090	653	627	1170	760	741	2972	2657	2983	3173	3406	2859	2531	2566	2689	1041	1332	3237	1841	1541
DYNLL2	1513	3298	2876	7044	1811	1396	1247	1380	900	1129	1352	794	923	1640	1538	2023	1634	1692	1989	4475	5931	2178	855	1180	4737	2413	1232
DYRK3	203	322	355	861	160	164	143	225	143	149	188	128	108	1047	1168	2267	1286	651	388	815	791	552	133	182	1139	965	900
E2F2	182	800	550	757	330	140	99	190	64	111	162	75	81	83	80	76	166	180	306	368	419	292	69	25	81	9	122
E2F5	571	1025	868	1741	596	460	353	383	243	235	358	233	282	265	174	297	378	482	617	676	1006	552	437	654	216	37	85
EBF2	0	1209	683	363	128	84	158	55	18	64	32	35	48	923	789	726	2227	1630	1739	843	575	2021	0	1	84	1623	10
EBF4	13	6	14	18	44	47	24	72	74	64	194	101	110	161	129	143	224	209	68	124	73	217	178	83	128	3	53
EDN3	4	88	90	528	2	6	1	4	0	0	0	0	1	301	253	580	891	493	299	332	91	613	0	1	8	0	0
EFHC1	331	568	667	1056	603	504	412	547	378	418	728	437	572	808	761	719	705	799	592	977	880	768	288	426	771	400	470
EFNA5	214	792	572	950	275	245	274	222	172	220	135	88	77	902	641	786	1452	2056	2697	1490	1156	1677	82	87	114	37	39
EFNB1	69	883	823	1507	515	447	285	417	323	294	497	250	264	1191	897	903	1660	1529	1367	1819	1746	1957	171	243	299	295	374
EFNB2	277	3230	2987	6333	1826	1530	1477	974	655	693	706	352	344	320	250	348	787	2651	2540	1719	2162	1135	367	332	639	125	626
EFR3B	333	1124	909	1993	1560	1188	881	1098	557	713	893	498	579	1001	830	1103	1149	1377	1373	887	1084	1590	986	1896	2731	167	222
EHBP1	877	901	817	1233	2906	2444	1649	1691	1018	1139	1867	1169	1253	5443	4385	5367	3091	3614	1292	1102	1643	1406	4332	3551	3913	1833	2109
ELK4	982	1127	1038	1407	1222	1097	1010	1422	816	1049	1906	1232	1383	3101	2565	3773	2768	3295	2702	2494	2105	2612	1206	1810	2595	1288	1737
ELN	100	15	4	8	973	1106	1770	3966	4304	9820	305	345	227	729	354	325	597	1167	121	152	42	692	0	4	420	1118	1632
ELOVL2	68	576	533	604	163	173	144	92	56	89	73	47	46	53	36	32	68	154	180	128	172	128	8	0	15	16	90
ELP3	524	817	765	1766	564	551	449	536	386	442	572	357	391	607	476	552	519	900	1158	1164	1257	569	251	642	1312	422	629
EMP1	14	6	13	6	706	815	535	1262	783	820	1922	1274	1199	13203	10445	17349	15376	8841	1614	4126	450	5350	273	575	13403	13097	8317
EMP2	385	807	812	2030	879	448	393	638	383	495	1418	907	879	1658	1271	1669	1729	3394	1078	1721	997	1551	12223	12879	4831	154	1207
ENC1	573	6846	5323	9368	21526	20621	12269	14505	8006	8858	11362	6309	5308	8857	6677	10398	14787	15817	9822	8475	15514	14747	335	391	2902	10335	7592
ENDOD1	127	990	1018	982	1337	1159	976	1591	1252	1356	4394	2975	3276	3381	2691	3376	2563	2968	1506	2295	3636	1577	7811	7989	8352	3177	1626
ENOSF1	291	719	727	990	177	180	139	149	93	149	165	101	93	353	411	435	337	346	472	451	611	451	181	187	790	181	302
ENPP2	98	1047	868	1180	283	94	127	90	61	89	170	95	183	613	615	814	890	2168	4028	1692	5360	1617	4614	12515	3294	305	718
EPHB2	482	2119	1251	2481	357	341	226	258	234	192	219	105	88	870	659	658	895	983	724	706	383	963	8	16	108	57	216
EPOP	44	500	468	992	124	88	63	67	42	60	74	48	55	51	44	89	152	188	155	205	206	192	25	45	197	84	119
ERBB3	1549	5717	6542	8179	8505	7245	4266	9448	5394	5468	13078	7519	9300	5061	3565	4405	3456	2895	12006	9145	20664	11179	7478	7224	5915	317	516
ERBB4	9	137	233	78	75	32	30	57	33	37	29	23	20	26	21	19	5	28	335	43	117	14	393	296	45	106	0
ERI2	156	441	483	919	251	204	218	248	188	176	281	185	177	254	200	199	197	245	396	428	605	358	235	272	405	181	279
ESD	676	1386	1505	2990	881	955	732	902	788	754	1024	727	716	2005	1788	2095	1837	2022	2135	2008	2283	1812	1168	1316	2219	1976	1771
ETS1	1156	4774	5239	6131	2502	2233	2116	1754	1204	1571	2309	1290	1572	4667	3655	5135	3993	5270	5216	3080	5071	4649	520	1273	3070	2252	3987
ETV3	404	718	552	1122	966	849	750	831	652	732	1328	868	970	1962	1596	2285	2308	2051	1887	1412	1501	1674	396	658	1784	688	909
EVL	322	1123	925	1900	562	575	455	470	397	456	460	284	249	986	767	771	1111	1317	1387	1041	1294	1272	71	177	458	325	530
EXOC3L2	20	93	75	166	455	405	398	302	207	240	250	87	110	111	101	166	264	149	210	131	99	271	0	3	2	9	1
EYA1	26	515	415	1364	40	53	64	27	27	36	19	15	14	697	445	530	992	1625	2050	798	344	1320	0	0	3	0	0
EYA2	17	37	65	841	6	3	2	12	6	11	11	10	6	2	5	2	3	50	125	59	11	5	0	0	5	1	8
EYA4	4	108	186	269	36	65	50	29	27	23	24	18	7	152	95	118	155	234	1048	1655	665	110	1	1	23	2	0
EZH2	710	1582	1591	3737	979	693	532	545	322	361	558	327	334	371	352	409	763	882	1370	1368	1770	1381	168	224	345	145	446
FADS1	2641	4990	4654	10604	2203	2436	1894	3176	2270	2823	3413	1912	1552	3348	3475	6611	3323	2315	1043	2234	2364	1245	5197	4967	4746	1133	2039
FAHD2B	311	342	421	552	713	667	311	680	513	480	1559	867	1072	200	198	224	259	276	455	461	861	398	282	375	2531	26	95
FAM110B	71	945	658	846	93	79	110	110	78	98	206	86	120	324	310	392	385	806	994	448	239	848	30	57	433	243	157
FAM184B	36	4	5	2	79	92	63	146	84	87	263	190	246	178	165	173	102	108	20	573	537	43	27	121	15	15	56
FAM239A	358	742	772	981	477	435	350	444	312	318	420	263	248	144	86	159	34	423	795	890	1214	36	0	238	537	0	252
FAM53B	372	1358	1218	1920	552	517	386	681	413	483	896	408	504	658	508	594	795	751	1030	818	1007	1026	329	691	2673	341	358
FAM78B	48	86	203	121	227	114	48	153	89	80	352	248	258	73	51	89	88	55	71	70	371	72	132	186	163	7	79
FBLN7	3	105	73	141	8	6	10	5	1	2	7	6	3	78	42	20	84	118	52	51	52	86	23	1	235	49	69
FBXL14	66	389	296	464	206	130	99	185	107	131	192	80	107	216	206	235	349	353	553	258	255	374	113	169	245	107	123
FBXO10	327	707	657	1142	426	408	321	351	312	268	334	171	207	335	297	365	389	517	1021	1040	899	575	786	1002	500	377	224
FBXO32	35	32	27	18	1641	932	836	802	530	499	639	327	359	2133	1914	2349	4745	811	249	730	639	897	165	219	1511	690	5038
FBXO7	830	1571	1444	2862	2410	1830	1457	1964	1457	1497	2720	1647	1880	2634	2216	3092	2662	2146	2259	1808	2658	2330	3057	2890	4068	1691	1470
FCGR2A	1	4	0	1	30	27	7	19	13	12	91	80	71	103	72	99	34	21	14	15	14	21	862	435	81	4	7
FCRLA	0	6	0	45	277	159	63	166	81	133	1042	702	932	100	65	117	46	52	17	19	18	0	1803	1277	1078	156	123
FDPS	2237	4612	3939	9222	1353	1624	1200	2083	1630	1935	2070	1121	799	1769	1715	2242	2074	1820	1097	1974	2082	1118	2335	2907	2753	2223	1486
FHOD3	289	623	628	1298	257	160	143	132	74	82	135	76	89	596	564	635	781	426	322	2286	1982	272	439	964	2070	303	988
FIGNL1	191	763	852	1393	656	418	328	438	255	281	511	301	350	348	305	317	335	623	909	939	1580	777	311	366	911	308	713
FIGNL2	71	655	598	1025	77	76	68	53	26	25	30	23	19	52	34	49	124	232	295	265	310	326	14	6	6	6	14
FLJ16779	5	159	94	214	445	638	175	165	125	100	118	38	100	95	69	42	65	65	110	166	231	167	21	1	18	0	1
FLRT1	35	191	173	133	292	141	52	320	233	226	961	420	625	152	74	159	112	112	348	142	360	255	153	346	119	19	40
FNDC3A	1173	2617	2138	4003	3696	3686	2742	2908	1751	2032	2518	1526	1519	4382	3731	4951	4141	5468	4914	5156	4550	4696	1558	1846	4180	2248	2404
FNTB	94	435	478	422	659	575	299	565	496	547	1184	750	905	769	948	1060	898	587	558	795	1017	762	3262	7330	3581	274	242
FOS	263	11494	2931	3651	1460	763	359	402	328	282	2406	427	720	3342	865	567	1672	574	557	459	227	689	3054	1587	791	1192	3451
FOSB	31	1725	611	1078	81	109	36	38	39	53	199	19	35	709	209	273	406	46	96	114	51	26	306	23	70	545	2846
FOXD2	0	1042	624	1538	121	184	47	100	108	62	115	56	70	55	37	58	68	68	125	72	41	87	39	0	50	11	15
FOXD2-AS1	3	233	207	403	56	28	21	51	17	37	42	32	28	38	30	48	32	32	52	29	27	38	4	4	44	6	13
FOXK2	852	1734	1532	2791	1143	1027	789	1136	702	849	1228	638	666	1366	1110	1620	2026	1603	1881	2694	2712	1885	747	989	1716	1006	845
FOXO3	677	1754	2049	3529	1071	930	722	1099	838	762	1111	592	642	2063	2106	2274	2380	3984	2824	1958	1393	2808	914	1234	1881	2029	1735
FREM1	203	6750	5329	6825	528	398	174	405	196	208	261	182	150	186	142	141	365	430	1221	709	1209	502	126	816	86	14	16
FRG2DP	0	7	2	0	130	70	69	8	2	1	2	0	0	1	0	0	0	2	250	10	233	1	0	0	2	0	0
FRMD4B	95	489	442	576	25	21	21	4	4	20	7	3	5	31	23	22	99	220	263	278	161	100	12	21	638	23	10
FRMD6	532	2273	2723	2626	5277	4607	3385	2943	2265	2695	3749	2036	1963	11789	8487	12742	17389	10200	5087	4370	6627	12012	1880	1543	4432	15899	26249
FRYL	1489	1897	1830	3581	2346	1929	1860	1813	1094	1359	1876	1169	1200	2855	2546	2937	3024	2815	2305	3132	3289	2891	3874	4314	4706	2043	2352
FRZB	108	864	657	2547	164	133	160	225	93	193	240	121	167	631	475	530	834	3624	5950	2202	693	1206	14	20	44	6	3
FSCN1	2956	7203	5378	11806	4346	3462	2321	2662	2166	2441	3650	1539	1745	3854	3398	3865	6392	7601	7565	4175	5270	5922	742	1219	1273	3585	4374
FTH1	2940	5001	4376	9531	2077	2318	1972	2585	2341	2466	3102	1869	1934	25093	28379	47297	30778	12858	23674	7082	7749	12186	4650	7809	25491	23519	13365
FUNDC2	449	708	845	1859	502	471	435	419	291	343	496	356	356	1235	1051	1219	1157	1120	1376	1107	1317	1062	879	968	1265	738	1067
FUS	910	2067	1505	2776	751	524	503	493	359	496	705	361	371	1151	1020	1211	1617	1977	2175	2223	2652	1906	416	466	1140	542	974
FUT8	304	593	632	1326	496	464	431	612	400	398	1301	856	997	2411	2318	2508	2575	1846	2449	2470	3939	3092	1828	1789	1020	1061	1429
FXYD1	16	37	25	56	38	22	5	31	17	28	128	44	81	109	70	90	74	40	115	136	290	177	546	355	116	5	13
FXYD3	4	13	13	31	152	87	22	92	68	64	240	103	237	320	245	273	235	42	62	143	374	143	1902	1844	521	4	19
FXYD6	257	1657	1562	2186	1076	923	738	926	588	594	843	438	452	323	170	242	727	677	1467	1480	2210	1443	6	111	18	2	12
GABRA2	8	0	0	0	7	9	7	35	14	12	74	72	40	196	116	243	130	135	0	51	3	160	72	439	193	10	30
GAD1	9	15	17	6	136	75	52	21	4	7	17	4	17	95	49	221	96	23	19	8	16	38	26	14	103	120	20
GAS1	51	537	391	985	213	194	253	173	204	275	176	96	77	1604	1113	1339	4070	2690	2688	4516	1152	3506	26	21	1263	154	459
GAS2	2	154	148	394	23	19	8	27	17	15	30	12	32	575	335	290	807	1067	792	1548	277	1124	15	23	34	1	1
GAS2L3	392	647	726	1670	258	234	269	234	143	152	301	225	203	401	415	514	569	480	654	999	1529	833	16268	20944	4818	53	209
GAS7	225	5443	5102	4005	7447	4846	2735	6347	3839	4359	13723	6963	8926	12178	8575	12403	7910	8800	6319	6684	15661	5968	10510	17115	8159	1092	2662
GBP1	0	6	3	5	63	82	91	168	150	162	451	289	183	695	510	466	376	464	15	34	14	36	182	136	549	645	1435
GBP3	2	0	1	0	32	32	44	63	63	76	198	135	93	956	841	862	611	281	8	48	7	87	243	65	250	3258	848
GDF11	510	2171	2273	4607	1077	1002	723	1459	947	920	1494	814	959	1088	827	1173	1468	1477	2121	1416	2238	2388	570	777	1630	425	401
GFRA1	77	3852	5397	5179	2171	876	476	560	323	488	1110	613	938	383	385	583	1252	1381	1372	1816	2061	911	5421	12004	15452	2823	1679
GFRA3	23	60	23	37	190	74	43	112	32	50	539	260	368	266	257	275	159	106	602	195	88	139	9189	8083	2610	22	29
GIPC3	27	57	36	75	85	72	103	118	39	81	186	108	148	137	76	141	99	112	69	155	155	48	53	93	34	14	53
GJB1	1	26	48	85	4	10	0	3	0	2	1	0	0	3	12	9	8	12	35	9	13	43	3	103	204	0	3
GLT8D2	104	409	233	692	64	68	78	112	128	176	173	134	109	893	845	597	617	838	403	216	82	409	13	0	182	234	639
GLTP	283	688	574	1062	511	506	456	538	443	444	841	496	489	1208	957	1100	1038	899	1141	747	915	1023	1721	2071	1417	1873	921
GNB4	1564	2896	2562	3810	3659	3123	2983	2840	1827	2080	2523	1628	1373	3726	3475	4210	3523	4878	3408	3081	3662	3090	1769	3318	3234	3073	4027
GNE	340	1084	971	1670	667	645	562	680	460	561	780	455	462	1275	1101	1377	1104	1097	1002	1064	1098	926	989	1066	1924	854	863
GOLGA2P7	404	659	853	1682	364	395	345	340	183	278	278	170	190	229	147	191	297	430	655	438	645	583	95	34	321	88	56
GOLGA6L9	454	756	842	1151	427	343	311	386	270	239	389	216	242	285	224	197	306	444	669	761	918	630	103	154	302	101	321
GOLGA8H	73	307	256	213	92	69	69	52	56	55	62	52	69	67	41	92	62	162	229	223	264	129	19	6	45	5	32
GOLGA8T	3	46	73	41	6	4	3	2	1	6	13	0	8	0	0	13	5	27	30	42	57	20	8	28	5	0	13
GPAM	767	862	1009	2273	3389	3536	2430	1967	1125	1461	744	529	516	792	1148	1045	785	883	1070	965	1234	796	324	577	1944	962	1137
GPAT3	37	1	3	3	439	379	285	201	99	124	119	55	128	390	651	821	193	405	12	27	16	6	315	844	2558	109	285
GPC3	1140	2539	2455	4507	283	194	292	191	68	89	25	6	10	115	186	258	619	1056	2403	8545	2022	1529	3	3	53	13	1
GPC5	7	107	125	130	23	23	49	31	16	39	29	16	14	11	11	19	12	40	29	22	16	28	2	9	16	0	0
GPCPD1	205	966	867	1670	476	390	402	407	365	301	366	238	270	1073	959	759	800	1704	1916	1363	1405	1128	332	305	605	644	871
GPHN	171	470	477	841	253	218	248	248	200	228	242	137	179	335	282	323	334	371	525	436	680	501	328	374	782	154	234
GPR158	57	5	3	1	231	284	138	188	159	177	867	470	514	362	408	584	260	94	120	38	77	154	34	36	2921	53	33
GPR161	430	1837	1425	2441	2225	1740	1640	1515	858	1243	1424	760	800	1820	1680	2512	2822	2488	2570	1712	2258	2840	1563	1305	4994	408	738
GPR162	107	246	268	591	82	58	66	67	64	50	82	34	48	267	127	145	279	265	239	172	141	228	13	12	33	14	14
GPSM2	368	797	955	2200	406	388	317	469	261	301	635	404	468	656	727	924	754	905	869	1607	2275	885	391	272	747	335	466
GRAMD1C	27	56	116	178	27	37	29	36	10	16	20	17	21	76	60	62	100	138	101	111	78	111	6	12	57	4	47
GREB1	830	3381	3225	4745	728	463	456	524	277	286	362	173	235	297	205	327	404	442	1101	472	430	676	21	40	1500	31	2
GREB1L	68	1336	1102	3230	112	137	125	113	65	84	94	85	83	140	77	101	95	217	244	113	112	112	42	42	119	235	59
GRK5	47	1421	668	1254	383	397	378	301	245	287	457	198	219	387	352	370	306	419	548	544	661	296	393	690	867	757	456
GSTA4	153	706	660	1785	261	252	232	242	247	324	340	200	265	568	563	501	609	656	756	711	808	718	389	391	565	298	261
GUSBP1	166	409	462	658	205	169	143	253	161	174	204	166	144	320	289	265	362	395	412	794	857	617	144	263	203	160	252
GUSBP14	228	743	782	1240	284	299	199	404	251	263	429	297	364	504	388	444	755	660	838	735	847	1086	152	185	362	214	234
GUSBP15	305	619	783	1594	299	275	186	374	215	227	379	261	289	490	402	416	677	666	909	925	1143	852	146	225	272	169	370
GUSBP16	276	673	810	1102	298	298	253	317	196	204	313	158	162	226	243	218	325	445	650	475	632	381	74	168	209	58	183
GVINP1	48	180	128	162	48	31	19	45	28	25	32	34	36	29	28	44	37	36	94	41	68	76	20	2	11	21	26
GYPC	225	1221	639	2037	573	413	405	298	318	341	314	152	151	865	999	1183	1386	874	734	805	1093	912	89	8	1277	196	414
H1-10	857	2058	1575	5335	807	504	451	640	524	495	783	402	561	1115	980	909	1627	1230	1784	1807	2122	2034	684	541	923	340	720
H1-4	3072	4625	6029	12969	1312	1339	1167	965	930	953	1506	1073	1044	3828	2668	2531	4402	3333	3915	4700	6138	4909	1125	884	1822	698	3285
H19	18	6967	1944	16019	697	317	383	215	119	114	297	164	39	5617	2717	2092	6799	350	6	182589	66679	4782	47	88	23	654	87
H2AC20	534	1441	1557	4591	219	274	228	175	241	247	220	235	194	710	611	549	882	729	752	1126	1491	1012	299	277	358	252	1200
H2BC12	2001	3384	3939	8785	935	876	609	695	630	657	751	539	484	1743	1207	1348	2420	2271	2580	2825	3523	3016	463	547	1170	1554	2409
H2BC18	1863	3085	3676	7456	624	727	392	467	428	481	580	492	392	794	598	728	1359	1358	1724	2283	3262	2075	363	274	890	291	1300
H2BC21	1632	3137	3335	6309	658	720	463	572	542	552	666	489	409	992	642	792	1467	1393	1606	1871	2378	1967	822	787	1073	660	1534
H2BC5	2089	3106	3594	7933	585	626	472	632	391	460	512	377	442	894	711	878	1587	1441	1644	2403	3481	2203	335	250	1087	461	1409
H2BU1	270	773	648	1301	77	70	56	72	57	42	63	52	54	58	58	83	79	108	163	340	597	185	58	57	96	14	63
H3C2	2048	3828	5313	9428	578	644	423	532	429	391	512	477	268	640	510	699	1827	1680	2077	3108	4315	2615	365	171	411	282	1769
H3C4	919	2902	3308	7158	524	542	426	421	465	441	440	422	333	774	570	744	1600	1456	1762	2080	2708	2033	401	310	393	233	1679
H4C1	332	615	917	1794	92	95	94	102	106	75	127	127	81	271	179	203	409	514	666	947	1378	854	60	47	104	67	411
H4C14	2571	4879	5761	11380	709	886	545	619	507	520	607	481	334	496	512	624	1313	1330	1453	2493	3942	1522	536	358	1033	280	2083
H4C3	918	1447	1887	6085	363	424	477	221	196	335	269	260	273	660	513	454	943	704	911	1728	2330	1442	193	186	351	306	1346
HADH	495	872	854	1836	354	394	364	291	202	213	184	127	115	397	314	338	560	480	685	837	882	694	263	260	582	294	281
HAUS5	367	671	601	1114	287	223	204	283	165	150	289	141	159	294	211	218	339	461	684	499	674	599	77	150	244	95	216
HDAC9	219	2573	2292	3031	321	390	622	528	455	398	420	316	249	525	468	1107	877	1843	1254	2337	2824	1810	27	96	120	1006	461
HES6	386	1725	1465	2229	190	126	126	105	80	75	154	79	78	49	55	66	88	92	417	911	1060	248	332	351	2229	16	43
HEY2	155	766	278	615	86	143	142	160	146	218	84	77	51	259	150	198	156	703	444	209	95	186	8	3	101	18	29
HFM1	72	176	196	323	75	55	43	50	40	28	50	69	65	48	31	48	75	108	220	164	236	227	20	14	38	3	3
HIC2	587	1585	1213	2356	666	553	381	473	249	304	335	188	188	419	336	446	665	772	1216	987	1085	854	49	116	202	82	133
HIP1R	340	621	647	1175	390	353	339	343	209	273	287	119	116	362	252	421	1349	1630	2512	970	646	1853	76	110	577	157	258
HMG20B	633	916	933	2035	2403	1760	1119	1956	1591	1575	3039	1765	2142	1432	1246	1523	1649	1651	1816	1574	2036	1633	1574	3470	6683	874	848
HMGA2	2446	7708	6746	9443	2773	2497	2876	1699	1093	1272	613	279	216	3607	3950	6274	13244	6766	4823	6944	7634	15491	18	28	167	559	514
HMGCR	5181	8589	7203	16894	2993	3756	2624	3611	2310	3054	3206	2004	1827	2263	2396	3869	5036	3507	1899	4350	6641	3064	4547	5353	5516	1720	2196
HMGCS1	4345	10977	9897	25486	1874	2743	2142	3106	2148	2599	2376	1398	913	1839	1941	3071	3611	2879	1169	3528	3764	1944	1923	2312	2760	1074	1208
HMGN2	3280	5848	4971	16604	2648	2473	2010	2522	2111	2072	2687	1734	1716	3817	3373	3313	6124	6111	7897	5861	6420	8297	2322	2789	3255	2441	3969
HNRNPA1L2	118	257	249	900	188	177	120	167	136	144	185	125	94	470	399	357	426	502	553	480	613	540	136	119	302	207	246
HNRNPA3	3333	5413	4865	11585	2986	2240	2210	2096	1490	1543	2198	1482	1494	4628	4122	4766	6097	6296	8612	7668	9513	8470	1486	1792	3918	1779	2993
HNRNPH1	5772	9798	9411	19878	6173	5923	4914	5160	3458	4163	5531	3179	3455	7964	6583	9349	9913	11862	14964	12478	15900	13291	2899	4334	6683	3539	5038
HNRNPR	3434	4949	5194	10868	3417	2995	2728	3120	1987	2269	3003	1886	2120	4778	4097	5561	5284	7290	8334	7474	8932	7203	1778	2220	4236	2184	3211
HOXB8	0	124	157	130	13	20	11	16	20	9	6	18	3	37	23	26	11	14	0	178	574	67	18	0	7	7	0
HOXB9	0	1402	1548	991	352	325	111	187	144	88	72	74	58	26	27	38	24	38	0	1021	3031	479	2	0	2	15	3
HS6ST2	117	660	476	553	144	135	108	142	132	127	107	92	63	95	112	257	500	473	264	4697	2234	540	17	25	8	1	2
HSD17B11	224	392	393	982	210	295	240	241	171	192	254	167	147	634	518	612	421	437	591	297	349	366	360	339	744	362	337
HSF2	317	741	737	1335	422	410	369	396	280	295	367	249	339	551	430	726	740	706	1066	951	1212	1037	337	366	549	324	352
HSPA12A	119	467	508	535	224	214	193	524	399	352	1541	952	1264	1822	1536	2293	1424	943	1425	2825	4271	2233	11575	18250	8342	672	500
HSPA4L	209	721	746	1039	156	136	87	110	59	112	100	47	57	176	218	255	185	136	303	421	505	199	541	728	1274	176	69
HSPA6	0	4	0	0	39	6	7	23	14	19	131	95	66	53	42	368	329	23	731	18	8	34	488	470	129	11	3
HUNK	283	1232	1175	2205	312	206	249	154	82	131	178	108	99	374	297	415	806	1057	1917	1199	1303	914	31	6	93	28	451
IFI16	9	262	338	604	485	378	347	578	364	450	780	580	594	3788	3841	3967	4310	3673	868	1855	1618	2531	948	899	6573	1737	1891
IFIT1	94	221	213	469	32	25	16	45	20	30	84	42	35	124	308	206	176	137	209	339	486	87	179	152	4797	205	18
IFT52	399	733	797	1804	576	540	440	489	368	438	467	306	307	777	648	697	827	946	1262	954	1139	1057	356	495	721	530	609
IFT81	360	1024	1061	2258	752	595	466	717	415	468	685	434	502	624	620	692	661	632	945	949	1375	998	357	361	1060	212	432
IGDCC3	1093	3324	3922	7756	29	17	33	14	4	4	2	1	2	70	44	127	229	179	280	337	319	240	1	2	1	3	2
IGF1R	3726	3146	2369	3432	6284	5929	4245	3410	2745	3312	2441	1375	1197	2183	2095	2362	3010	2017	2213	3978	2796	2407	1155	1520	3555	1323	1650
IGF2	7	1335	485	2809	101	70	55	16	6	13	36	19	6	1148	294	405	3868	15338	4052	24107	7679	4845	1	9	8	19	3
IGSF3	1464	2218	2603	4254	3483	3625	2710	1657	996	1081	635	330	247	2089	1624	1932	4213	3791	4905	8204	12703	4165	132	295	4639	29	84
IL11	16	3	13	7	901	1307	418	416	408	279	359	229	129	1764	4632	21648	2686	860	40	80	10	50	325	652	17328	202	1580
IL16	8	145	30	34	7	8	7	4	10	7	7	7	5	102	179	171	113	335	81	24	11	46	587	1201	505	25	109
IL18R1	3	0	0	0	95	127	57	14	12	19	8	11	8	171	167	214	87	26	6	0	2	11	0	0	163	244	160
IL1R1	9	13	13	10	100	105	110	167	117	114	414	236	129	5870	5777	9168	3784	3265	1143	354	42	910	95	48	8541	2582	1644
IL7R	1	1	6	2	1825	1148	883	627	359	368	561	429	436	1055	1013	1774	798	854	193	365	46	209	35	156	169	674	784
