WT_PSC	WT_NC	WT_NC	WT_NC	WT_7d	WT_7d	WT_7d	WT_14d	WT_14d	WT_14d	WT_30d	WT_30d	WT_30d	WT_Het_3D	WT_Het_3D	WT_Het_3D	NF1_B_Het_3D	NF1_C_Het_3D	NF1_A_Het_3D	NF1_A_Hom_3D	NF1_B_Hom_3D	NF1_C_Hom_3D	SC_A	SC_B	SC_D	Fb_A	Fb_B
ARGLU1	1368	2081	2237	4277	1382	1152	881	1266	986	1004	1339	839	888	2066	1704	1879	2480	2920	3287	3433	3688	3236	848	1065	1889	1051	1613
ARHGAP28	469	3283	2878	8085	355	471	424	437	437	390	300	237	240	1790	1248	1350	2229	6327	4678	2072	1708	3708	2	0	67	152	69
ARHGAP33	82	357	339	728	237	171	144	176	147	106	179	59	104	145	74	71	170	197	293	245	266	328	88	83	53	20	70
ARHGAP5-AS1	25	131	87	397	54	51	37	24	20	20	24	16	35	53	57	63	65	29	87	80	165	100	20	62	243	17	16
ARHGEF12	1777	5493	4938	8129	7417	5674	4968	7349	4535	5501	9658	5595	6075	12128	10922	15140	12595	11198	9664	8768	10046	10392	9525	10061	11477	7880	6922
ARHGEF2	951	1916	1760	2670	1432	1435	1041	2057	1697	1894	3401	2121	2347	4210	3286	4834	5221	3736	2738	4474	3191	3742	512	928	1853	6817	4432
ARHGEF25	81	459	457	934	217	243	182	342	218	251	368	204	193	997	702	598	828	742	677	427	464	734	66	91	520	532	412
ARID3A	1186	2235	1816	3646	722	751	542	616	420	432	453	209	167	318	275	485	632	705	1021	942	635	685	40	41	162	156	236
ARL3	312	547	595	1595	309	378	316	341	218	254	368	207	226	592	565	611	615	685	614	880	869	645	652	762	790	442	657
ARMCX2	1672	1060	833	1610	1651	1969	1541	2323	1896	2179	2160	1264	1247	2240	2127	2227	2888	2720	2772	6108	6759	3460	953	2165	3579	2195	1252
ARNT2	286	1364	989	1849	1117	728	546	869	569	626	1447	718	970	942	787	980	1245	1628	1628	1200	2753	1931	527	647	1442	821	883
ARNTL	99	122	113	260	1267	854	788	1239	750	744	1667	1076	1320	925	673	1158	810	646	292	240	194	289	586	1145	607	281	480
ARRB1	607	3103	1879	2185	702	576	632	551	312	449	572	236	328	569	403	636	919	1190	2645	989	1868	2057	10	10	390	164	153
ASAP2	335	1672	1409	2209	3775	2941	2304	2473	1446	1776	2937	1500	1679	2862	2379	2790	2334	2177	3269	1635	2029	3414	1092	1068	2304	4860	1486
ASIC1	17	170	172	242	31	22	13	60	23	58	60	23	33	288	164	137	408	504	104	117	68	229	6	16	52	40	98
ATG2B	887	1397	1328	1814	1731	1388	1290	1838	1086	1331	2389	1422	1669	2565	2324	3188	2934	2799	3526	2995	5551	4167	2196	2426	2995	1452	1627
ATP10D	194	417	437	563	1050	961	877	1134	823	955	1670	974	1009	1743	1419	1954	1934	1934	1020	720	909	1414	412	478	1333	4764	2066
ATP11B	856	1701	1762	2687	1740	1539	1499	2184	1407	1699	2881	1822	1761	3959	3389	4584	3512	3244	2898	3687	3488	3264	2059	1680	3497	4205	2738
ATP1A2	835	3276	4527	9587	293	262	187	540	400	341	786	544	622	346	167	139	382	791	3042	1223	2249	1123	600	314	2	3	2
ATP6V0E2	235	938	860	1146	655	435	243	331	224	296	585	311	305	333	212	263	359	315	538	437	822	412	2039	2372	1183	73	77
ATP6V1B1	0	83	67	148	25	27	12	40	24	28	32	14	31	43	19	30	40	26	15	65	68	39	9	36	25	10	21
ATP6V1B2	1029	1528	1243	2815	1664	1488	1185	1145	904	984	1131	676	700	2236	2076	3204	2828	2146	2372	1635	2171	1695	1094	1628	5200	1541	1364
B4GALNT4	868	1834	1394	2323	807	735	464	697	636	580	940	456	492	978	656	873	2163	2385	2633	1875	1840	2677	58	129	275	104	229
BAHCC1	15	2065	1409	3364	544	420	317	561	377	422	578	252	345	1275	799	987	1604	1981	1398	1353	1258	1781	316	392	1321	271	328
BAZ1B	2703	4846	4392	9304	3611	2835	2541	3074	1824	2366	3196	1840	1879	4343	3877	5381	5845	5066	5874	5904	6907	6290	2066	2857	5350	2789	3732
BBOX1	1	1	4	3	265	192	125	251	138	185	482	327	315	83	46	54	56	76	94	36	21	88	105	270	1	8	16
BCL7A	169	835	794	1717	289	217	145	227	126	134	222	90	142	161	112	164	203	326	830	539	843	517	59	190	219	545	364
